name,rmsd_start,rmsd_end,plddt,ptm,rmsd_constraint,langevin,single_state_plddt,single_state_rmsd,curvature_mean,curvature_max,U,-PLL
5KPE_2_2_2_id14,1.545001745223999,1.1869381666183472,94.99953703703704,0.86,2,2,92.89212962962964,0.7510219216346741,20.760426,71.897865,-228.70558166503903,2.67731362802011
5KPE_2_2_2_id15,1.084553599357605,1.2326455116271973,92.75898148148148,0.82,2,2,92.89212962962964,0.7510219216346741,20.760426,71.897865,-225.761474609375,2.516237046983507
5KPE_2_2_2_id16,1.2344938516616821,1.4671106338500977,92.86722222222222,0.82,2,2,92.89212962962964,0.7510219216346741,20.760426,71.897865,-223.846923828125,2.491237499095776
5KPE_2_2_2_id17,1.5384047031402588,1.2012147903442383,91.8987037037037,0.8,2,2,92.89212962962964,0.7510219216346741,20.760426,71.897865,-227.7898101806641,2.666562963415075
5KPE_2_2_2_id18,1.4935028553009033,1.0372614860534668,91.5750925925926,0.81,2,2,92.89212962962964,0.7510219216346741,20.760426,71.897865,-224.9901428222656,2.761732030797888
5KPE_2_2_2_id19,1.2910575866699219,1.2839299440383911,91.58712962962964,0.81,2,2,92.89212962962964,0.7510219216346741,20.760426,71.897865,-225.474609375,2.40833169442636
5KPE_2_2_2_id2,1.5818578004837036,1.2741687297821045,91.87722222222222,0.84,2,2,92.89212962962964,0.7510219216346741,20.760426,71.897865,-219.41336059570312,2.820476390697338
5KPE_2_2_2_id20,1.343492865562439,1.304771065711975,91.73296296296296,0.8,2,2,92.89212962962964,0.7510219216346741,20.760426,71.897865,-227.18858337402344,2.535229718243634
5KPE_2_2_2_id21,1.376641869544983,1.2790082693099976,93.19481481481482,0.81,2,2,92.89212962962964,0.7510219216346741,20.760426,71.897865,-224.5209503173828,2.6452275028935186
5KPE_2_2_2_id22,1.691779375076294,1.4125785827636719,90.65648148148148,0.79,2,2,92.89212962962964,0.7510219216346741,20.760426,71.897865,-223.1182861328125,2.927105938946759
5KPE_2_2_2_id23,1.395578145980835,1.185074806213379,93.31814814814815,0.83,2,2,92.89212962962964,0.7510219216346741,20.760426,71.897865,-225.82020568847656,2.6388883237485534
5KPE_2_2_2_id3,1.4737905263900757,1.1703442335128784,94.9597222222222,0.87,2,2,92.89212962962964,0.7510219216346741,20.760426,71.897865,-226.47044372558597,2.827073838975694
5KPE_2_2_2_id4,1.5986971855163574,0.9750024080276489,91.39805555555556,0.79,2,2,92.89212962962964,0.7510219216346741,20.760426,71.897865,-221.64923095703125,2.5892512003580728
5KPE_2_2_2_id5,1.3253190517425537,1.1705538034439087,92.2750925925926,0.81,2,2,92.89212962962964,0.7510219216346741,20.760426,71.897865,-226.1282501220703,2.738890188711661
5KPE_2_2_2_id6,1.5417643785476685,1.14506995677948,94.31527777777777,0.85,2,2,92.89212962962964,0.7510219216346741,20.760426,71.897865,-224.74778747558597,2.6193355984157987
5KPE_2_2_2_id7,1.421413779258728,1.3312803506851196,89.57944444444445,0.78,2,2,92.89212962962964,0.7510219216346741,20.760426,71.897865,-224.7509002685547,2.7053149188006365
5KPE_2_2_2_id8,1.2898000478744507,1.0742169618606567,89.9137962962963,0.78,2,2,92.89212962962964,0.7510219216346741,20.760426,71.897865,-226.42431640625,2.6590954815899885
5KPE_2_2_2_id9,1.5397309064865112,1.1079481840133667,93.55787037037038,0.84,2,2,92.89212962962964,0.7510219216346741,20.760426,71.897865,-227.24703979492188,2.84490062572338
5KPE_2_2_3_id0,1.6086851358413696,1.2019249200820923,91.4501851851852,0.81,2,2,93.17296296296298,0.5701616406440735,21.133627,71.355736,-231.62356567382807,2.4474244294343173
5KPE_2_2_3_id1,1.1337263584136963,1.2322338819503784,93.6428703703704,0.85,2,2,93.17296296296298,0.5701616406440735,21.133627,71.355736,-228.8360595703125,2.633101286711516
5KPE_2_2_3_id10,1.5292048454284668,1.0454212427139282,92.05305555555556,0.81,2,2,93.17296296296298,0.5701616406440735,21.133627,71.355736,-230.90626525878903,2.311286219844112
5KPE_2_2_3_id11,1.092414140701294,1.0870752334594727,91.24814814814816,0.81,2,2,93.17296296296298,0.5701616406440735,21.133627,71.355736,-229.9220428466797,2.76695477520978
5KPE_2_2_3_id12,1.1446406841278076,1.063137412071228,90.87166666666666,0.79,2,2,93.17296296296298,0.5701616406440735,21.133627,71.355736,-228.19723510742188,2.721253006546586
5KPE_2_2_3_id13,1.283955693244934,1.1857576370239258,91.84583333333332,0.82,2,2,93.17296296296298,0.5701616406440735,21.133627,71.355736,-230.5323486328125,2.6862128928855613
