name,seed,model,plddt,ptm,rmsd_start,rmsd_end
5KPH_4_8_4_0_combined_id16,44,4,90.74305555555556,0.72,0.7108784914016724,4.034884452819824
5KPH_6_4_0_0_combined_id3,42,2,90.84763888888888,0.74,0.5577004551887512,5.846212863922119
5KPE_2_8_9_0_combined_id17,42,2,86.15064814814815,0.69,10.932967185974121,10.916476249694824
5KPE_4_8_8_0_combined_id14,42,3,93.3649074074074,0.81,1.4767824411392212,3.8613955974578857
5KPE_4_8_0_0_combined_id8,42,1,87.6786111111111,0.76,1.9860293865203857,2.7355856895446777
5KPH_2_8_5_0_combined_id21,42,5,89.31333333333333,0.69,1.7359905242919922,0.8556331396102905
5KPH_2_4_5_0_combined_id4,43,2,91.24027777777776,0.75,1.4259005784988403,0.9439067244529724
5KPE_2_6_7_0_combined_id8,44,3,90.75555555555556,0.76,1.5018361806869507,1.7123146057128906
5KPH_4_2_7_0_combined_id2,42,3,95.05319444444444,0.81,0.6055765151977539,4.069324493408203
5KPH_2_6_4_0_combined_id16,44,3,93.26625,0.77,0.5580906271934509,1.956397294998169
5KPE_4_8_3_0_combined_id7,43,1,83.78212962962962,0.68,1.6796762943267822,3.36152982711792
5KPE_2_6_8_0_combined_id23,42,2,93.6176851851852,0.84,1.7538526058197021,1.4133195877075195
